Day,Month,Year,Date,T,Q,C,SSC
28,9,2015,9/28/2015,19.4,4.8,810,10
8,8,2016,8/8/2016,21.6,4.9,790,12
23,9,1998,9/23/1998,8.2,5.03,780,17
2,9,1998,9/2/1998,8.1,5.1,720,17
9,9,1998,9/9/1998,8.1,5.17,710,11
4,8,1999,8/4/1999,8.1,5.46,480,9
1,9,1999,9/1/1999,7.6,5.49,600,8
28,7,1999,7/28/1999,7.6,5.51,510,5
25,7,2016,7/25/2016,23.8,5.6,800,17
8,8,2001,8/8/2001,8,5.66,642,20
18,8,1999,8/18/1999,7.7,5.68,540,10
13,8,2001,8/13/2001,8,5.73,660,11
21,10,1998,10/21/1998,8.1,5.79,730,5
22,9,1999,9/22/1999,7.6,5.82,630,13
23,6,1999,6/23/1999,7.9,5.87,620,13
5,9,2001,9/5/2001,8,5.94,641,7
12,9,2005,9/12/2005,8.4,6.02,702,14
14,7,1999,7/14/1999,8,6.05,540,11
16,9,1998,9/16/1998,8.2,6.05,740,11
9,7,2012,7/9/2012,24,6.1,890,14
5,8,1998,8/5/1998,8.2,6.18,700,11
7,7,1999,7/7/1999,7.8,6.2,570,11
11,8,1999,8/11/1999,7.8,6.21,570,8
23,7,2007,7/23/2007,17,6.3,715,21
15,9,1999,9/15/1999,7.7,6.32,580,11
11,7,2016,7/11/2016,22.2,6.4,760,12
8,9,2003,9/8/2003,8.4,6.44,736,16
21,7,1999,7/21/1999,7.7,6.45,540,13
19,11,2007,11/19/2007,6.5,6.5,775,6
28,10,1998,10/28/1998,8.1,6.52,690,5
30,9,1998,9/30/1998,8.1,6.6,740,5
19,5,1999,5/19/1999,8.1,6.62,650,5
26,8,2013,8/26/2013,22.2,6.7,670,6
9,9,2002,9/9/2002,8.1,6.86,695,3
9,9,2013,9/9/2013,18.7,7,640,8
6,9,1995,9/6/1995,7.9,7.05,620,10
19,8,1998,8/19/1998,7.8,7.08,400,13
6,10,1999,10/6/1999,8.1,7.1,610,14
19,10,1999,10/19/1999,7.7,7.17,640,11
24,9,2007,9/24/2007,17.1,7.2,818,10
18,7,2016,7/18/2016,22.6,7.3,670,14
9,7,2007,7/9/2007,23.2,7.3,750,14
30,8,1995,8/30/1995,8.2,7.37,648,12
12,9,2016,9/12/2016,18.5,7.4,660,16
17,9,2007,9/17/2007,14.7,7.5,855,14
29,9,1999,9/29/1999,7.7,7.56,600,8
15,7,1998,7/15/1998,8.1,7.58,600,18
17,9,2012,9/17/2012,18.3,7.6,650,14
15,10,2007,10/15/2007,13.6,7.6,852,14
23,7,2001,7/23/2001,8,7.67,631,14
4,10,2004,10/4/2004,8,7.68,764,10
10,9,2007,9/10/2007,19.4,7.7,757,11
7,10,1998,10/7/1998,8.1,7.72,720,12
8,8,2005,8/8/2005,8.1,7.76,474,14
29,8,2005,8/29/2005,8,7.83,677,12
2,12,1998,12/2/1998,8.2,7.87,620,18
29,10,2007,10/29/2007,11.1,7.9,787,13
4,10,1995,10/4/1995,7.8,8,693,10
19,9,2016,9/19/2016,19.7,8.1,660,14
20,9,2004,9/20/2004,8,8.14,758,10
19,9,2005,9/19/2005,8,8.16,619,10
25,8,2008,8/25/2008,19.4,8.2,655,13
1,10,2001,10/1/2001,7.8,8.33,573,8
27,6,2005,6/27/2005,8.3,8.36,692,14
28,6,1999,6/28/1999,7.9,8.37,610,10
19,9,2011,9/19/2011,16.8,8.4,680,10
14,10,1998,10/14/1998,8.1,8.49,680,11
25,8,2003,8/25/2003,8,8.5,674,11
27,10,1999,10/27/1999,7.9,8.52,610,19
8,7,2002,7/8/2002,8.3,8.53,605,12
21,9,1994,9/21/1994,7.8,8.57,697,13
27,9,2010,9/27/2010,15.1,8.6,775,6
8,9,1999,9/8/1999,8,8.62,630,8
7,10,2002,10/7/2002,7.8,8.66,654,5
13,9,2010,9/13/2010,17,8.7,750,8
27,8,2007,8/27/2007,19.7,8.8,696,20
24,10,2005,10/24/2005,8,8.81,744,19
15,8,2005,8/15/2005,7.8,8.84,660,16
13,10,1999,10/13/1999,7.3,8.87,610,11
20,9,1995,9/20/1995,7.9,8.89,664,8
16,8,2004,8/16/2004,8.1,8.9,754,6
14,8,1996,8/14/1996,7.4,8.95,662,6
21,11,2016,11/21/2016,4.1,9,740,10
14,7,2003,7/14/2003,8.1,9.02,788,13
18,7,2011,7/18/2011,24.9,9.1,650,8
7,8,1996,8/7/1996,7.9,9.11,665,7
12,10,1994,10/12/1994,8.1,9.17,699,14
15,10,2012,10/15/2012,14,9.2,816,12
20,1,2003,1/20/2003,8.1,9.23,1037,6
4,7,2001,7/4/2001,6.9,9.34,590,13
18,10,2004,10/18/2004,7.4,9.39,726,4
25,6,2007,6/25/2007,21.3,9.4,699,8
25,7,2005,7/25/2005,7.9,9.43,493,17
3,6,1998,6/3/1998,8.3,9.5,670,16
6,9,1994,9/6/1994,8.2,9.5,691,16
14,5,1998,5/14/1998,8.2,9.54,590,15
24,11,1999,11/24/1999,8.6,9.56,660,19
20,6,1995,6/20/1995,8.1,9.57,678,13
12,8,2013,8/12/2013,20,9.6,637,8
9,6,1999,6/9/1999,8.1,9.65,580,14
18,6,2012,6/18/2012,21.8,9.7,702,10
12,5,1999,5/12/1999,8.2,9.72,570,11
9,8,1993,8/9/1993,7.8,9.73,590,11
15,9,2003,9/15/2003,8.1,9.76,740,11
27,5,1998,5/27/1998,8.2,9.78,590,16
5,10,1994,10/5/1994,7.9,9.78,677,16
26,7,1995,7/26/1995,7.9,9.79,664,8
1,10,2012,10/1/2012,14,9.8,800,7
9,12,2002,12/9/2002,8,9.88,912,8
26,11,2012,11/26/2012,4.8,9.9,803,6
23,6,2014,6/23/2014,21.8,9.92,680,8
28,8,2006,8/28/2006,7.9,10,681,9
10,7,2006,7/10/2006,8.2,10.1,752,10
13,9,2004,9/13/2004,8.1,10.2,669,9
13,6,2005,6/13/2005,8.1,10.3,669,12
26,10,2015,10/26/2015,11,10.4,620,10
11,1,1995,1/11/1995,7.7,10.5,864,7
17,2,2003,2/17/2003,7.9,10.7,991,7
8,11,2000,11/8/2000,8.2,10.8,757,12
24,8,1994,8/24/1994,7.8,10.9,693,12
10,9,2012,9/10/2012,18.3,11,590,12
30,8,2000,8/30/2000,8.3,11.3,696,11
22,8,2011,8/22/2011,20.2,11.4,644,12
20,5,1998,5/20/1998,8.2,11.5,600,13
18,10,1995,10/18/1995,7.9,11.6,670,10
12,11,2012,11/12/2012,10.3,11.6,880,10
11,8,2014,8/11/2014,21.5,11.7,650,9
28,6,2010,6/28/2010,22.9,11.8,709,7
29,7,2013,7/29/2013,18.4,11.9,608,11
9,8,2004,8/9/2004,8.4,12.2,717,9
5,1,1994,1/5/1994,7.8,12.4,825,8
10,10,2001,10/10/2001,8.1,12.5,545,8
24,7,2006,7/24/2006,7.9,12.6,684,7
20,7,2009,7/20/2009,19.1,12.7,772,12
10,8,1994,8/10/1994,7.8,12.8,683,18
15,11,2004,11/15/2004,7.9,12.9,789,8
14,9,2015,9/14/2015,16.1,13,680,9
19,6,2006,6/19/2006,8.1,13.1,751,10
19,7,2004,7/19/2004,8.2,13.1,788,10
3,12,2012,12/3/2012,7.6,13.2,760,11
11,6,2012,6/11/2012,22.4,13.3,700,8
9,6,2008,6/9/2008,21.2,13.5,684,6
18,1,2010,1/18/2010,2.7,13.7,948,5
17,10,2005,10/17/2005,7.7,13.8,629,12
17,7,2006,7/17/2006,8.2,13.9,589,12
25,8,2014,8/25/2014,20.6,13.92,640,12
29,8,2011,8/29/2011,20.4,14,669,8
29,9,2003,9/29/2003,7.9,14.1,599,10
26,10,2009,10/26/2009,10.7,14.4,799,13
24,10,2016,10/24/2016,12,14.5,520,12
20,6,2005,6/20/2005,8.1,14.7,625,11
18,8,2003,8/18/2003,8,14.9,595,13
18,8,2014,8/18/2014,19.5,14.94,600,13
26,9,2008,9/26/2008,15.7,15,626,6
25,11,2002,11/25/2002,8.2,15.1,691,5
14,5,2001,5/14/2001,7.6,15.2,685,9
20,6,2011,6/20/2011,19.5,15.4,639,8
5,10,2009,10/5/2009,12.4,15.6,706,9
11,6,2007,6/11/2007,19.7,15.7,670,11
26,6,2006,6/26/2006,8.2,15.8,714,11
28,5,2007,5/28/2007,16.8,15.9,667,9
12,12,2005,12/12/2005,7.9,16,1020,11
22,9,2003,9/22/2003,7.5,16.1,504,7
6,10,2003,10/6/2003,8,16.3,636,9
3,7,1996,7/3/1996,8.3,16.4,656,5
9,11,2009,11/9/2009,10.3,16.6,788,9
6,6,2016,6/6/2016,18.9,16.8,560,6
7,5,2001,5/7/2001,7.7,16.9,687,6
5,2,2007,2/5/2007,7.9,17,994,7
12,2,2007,2/12/2007,8,17.1,952,9
5,6,2000,6/5/2000,7.4,17.3,698,11
19,1,2000,1/19/2000,8.4,17.5,809,9
27,10,1993,10/27/1993,8.1,17.6,686,10
8,2,1995,2/8/1995,8.1,17.7,888,5
8,11,2010,11/8/2010,6.7,17.8,781,5
2,4,2012,4/2/2012,8.1,18,500,8
16,6,2014,6/16/2014,20.8,18.22,570,12
23,2,1995,2/23/1995,8.3,18.3,832,11
8,2,2010,2/8/2010,0.6,18.4,855,6
10,1,2001,1/10/2001,8.1,18.5,834,8
17,6,2002,6/17/2002,7.7,18.6,628,9
16,6,2008,6/16/2008,16.8,18.7,657,7
10,12,2007,12/10/2007,2.7,18.8,896,5
26,4,2010,4/26/2010,11.7,19,735,11
24,5,1995,5/24/1995,8,19.1,675,11
19,4,1995,4/19/1995,8.4,19.2,722,10
6,6,2001,6/6/2001,7.7,19.4,601,17
14,11,2011,11/14/2011,10.3,19.5,560,7
14,4,1999,4/14/1999,8.2,19.7,470,2
2,6,2014,6/2/2014,19.6,19.97,640,2
18,11,2002,11/18/2002,8.1,20.1,788,4
16,6,2003,6/16/2003,8.1,20.2,720,10
4,6,2007,6/4/2007,20.4,20.3,759,6
26,7,2000,7/26/2000,8.2,20.5,643,10
18,4,2005,4/18/2005,8.1,20.5,694,10
11,8,2003,8/11/2003,8.1,20.6,644,18
16,10,1996,10/16/1996,8.2,20.7,668,8
13,6,2001,6/13/2001,7.9,21,584,11
15,5,2006,5/15/2006,8.2,21.1,714,8
27,10,2014,10/27/2014,9.3,21.21,570,4
13,12,1995,12/13/1995,7.8,21.3,788,8
2,6,2003,6/2/2003,7.5,21.5,722,10
10,6,2002,6/10/2002,8,21.6,567,8
24,6,2013,6/24/2013,23.8,21.6,750,8
24,5,1994,5/24/1994,7.9,21.7,665,11
30,9,2013,9/30/2013,17.3,21.8,700,8
28,4,1999,4/28/1999,8.2,21.9,510,6
18,10,2010,10/18/2010,11.8,22,732,10
29,3,1995,3/29/1995,8.2,22.1,705,11
16,8,2000,8/16/2000,8.3,22.2,697,19
13,5,2013,5/13/2013,10.7,22.3,750,10
7,4,1999,4/7/1999,8.2,22.4,540,6
24,1,2001,1/24/2001,8.1,22.5,842,13
12,4,1995,4/12/1995,8,22.6,718,17
19,4,2010,4/19/2010,10,22.7,750,6
5,12,2016,12/5/2016,4.4,22.8,500,14
11,10,2000,10/11/2000,7.7,23.1,741,14
29,11,2004,11/29/2004,7.9,23.2,757,19
16,11,2015,11/16/2015,7.7,23.3,440,8
12,7,2010,7/12/2010,23.6,23.6,699,12
29,10,2012,10/29/2012,10.1,23.7,629,28
22,3,2000,3/22/2000,8.7,23.8,779,6
17,3,1999,3/17/1999,8.1,23.9,510,8
15,6,2009,6/15/2009,18.7,24.1,704,7
9,5,2005,5/9/2005,8.1,24.2,661,7
14,1,2002,1/14/2002,8,24.3,693,7
15,7,2013,7/15/2013,24.6,24.5,665,12
29,1,2007,1/29/2007,8.1,24.9,917,10
31,5,2000,5/31/2000,8.1,25,688,7
22,11,2000,11/22/2000,8.3,25,815,7
14,7,2014,7/14/2014,21.3,25.16,580,13
28,5,1997,5/28/1997,8.1,25.4,486,9
10,12,2012,12/10/2012,5.5,25.5,737,8
21,3,2005,3/21/2005,8,25.6,842,12
29,3,2010,3/29/2010,7.8,25.7,759,24
6,5,2002,5/6/2002,8.3,25.8,653,11
15,3,2000,3/15/2000,8.6,25.8,805,11
3,11,2008,11/3/2008,7.7,25.9,659,10
13,3,1996,3/13/1996,7.9,26,714,13
23,4,1997,4/23/1997,8.3,26.4,620,10
16,5,2005,5/16/2005,8.1,26.4,718,10
17,7,1996,7/17/1996,8.3,26.6,605,9
14,3,2005,3/14/2005,8.1,27,758,8
6,3,2006,3/6/2006,7.7,27.3,702,17
7,3,2005,3/7/2005,8.1,27.4,922,11
17,5,1995,5/17/1995,8.3,27.5,317,9
8,12,2014,12/8/2014,2,27.57,490,6
4,10,2000,10/4/2000,8,27.6,708,11
13,6,2011,6/13/2011,16.2,27.8,621,20
15,4,1998,4/15/1998,8.2,27.9,500,13
10,10,1996,10/10/1996,8.2,28,684,14
27,11,1996,11/27/1996,8,28.1,774,8
13,2,2012,2/13/2012,1.4,28.7,391,9
6,10,2008,10/6/2008,11,29,559,9
21,4,2008,4/21/2008,13.3,29.2,805,9
2,5,2016,5/2/2016,10.6,29.3,480,8
23,4,2007,4/23/2007,12.3,29.5,612,4
21,1,2008,1/21/2008,1.4,29.6,887,12
3,3,1999,3/3/1999,8.2,29.8,590,13
29,5,1996,5/29/1996,8.4,30,611,11
19,4,2004,4/19/2004,8.3,30.4,718,7
10,12,2001,12/10/2001,7.9,30.5,624,8
6,12,2004,12/6/2004,8,30.7,734,14
10,4,1996,4/10/1996,8,30.8,643,8
6,4,2000,4/6/2000,8.2,31,780,9
23,6,2008,6/23/2008,18.2,31.2,671,29
25,1,2016,1/25/2016,0.9,31.3,500,8
8,12,1999,12/8/1999,8.5,31.4,747,19
25,4,2001,4/25/2001,8.2,31.5,656,11
6,3,1996,3/6/1996,8.1,31.7,712,8
8,11,2004,11/8/2004,8,31.8,682,19
22,4,1998,4/22/1998,8.2,31.9,500,18
27,3,2006,3/27/2006,8,32.3,684,4
21,4,1994,4/21/1994,7.8,32.6,764,12
26,4,2004,4/26/2004,8,33.3,679,12
18,9,2006,9/18/2006,7.8,33.7,712,16
15,1,1997,1/15/1997,8.1,33.8,675,9
27,11,2006,11/27/2006,7.9,34,672,10
1,3,1994,3/1/1994,8,34.3,653,8
7,3,2016,3/7/2016,3.4,34.5,440,8
1,2,1995,2/1/1995,8,34.6,752,13
21,3,2016,3/21/2016,5,35.2,420,10
8,5,1996,5/8/1996,8.1,35.7,626,20
4,3,2013,3/4/2013,2.4,35.8,700,4
9,4,1998,4/9/1998,8.2,35.9,500,23
6,6,2011,6/6/2011,18.9,36,602,18
5,11,2012,11/5/2012,6.6,36.5,680,17
17,5,2010,5/17/2010,13.3,36.6,714,13
4,1,2016,1/4/2016,0.2,36.7,480,13
11,4,2005,4/11/2005,8.1,36.9,642,11
8,7,2013,7/8/2013,22.1,37.7,583,12
14,7,2008,7/14/2008,17.1,38,500,18
10,11,2003,11/10/2003,8,38.1,694,22
17,1,2001,1/17/2001,8.1,38.3,909,6
22,1,2007,1/22/2007,8.2,38.5,948,13
9,3,1994,3/9/1994,7.6,38.7,616,15
24,3,1999,3/24/1999,8.2,38.8,420,7
21,2,2001,2/21/2001,8.2,39,676,8
20,4,2009,4/20/2009,10.6,39.4,690,5
18,2,2002,2/18/2002,8.1,39.7,783,3
8,4,2013,4/8/2013,6.3,39.8,605,10
8,12,2003,12/8/2003,8.3,40,728,9
10,2,1999,2/10/1999,8.1,40.3,490,12
19,3,2012,3/19/2012,12.7,41.5,503,10
29,11,2010,11/29/2010,3.5,41.6,791,12
12,3,2007,3/12/2007,0.3,41.7,933,13
14,2,2005,2/14/2005,7.9,41.7,991,13
11,12,1996,12/11/1996,8,41.9,710,16
3,5,1995,5/3/1995,8.3,42.3,631,8
11,5,2009,5/11/2009,12.6,42.4,653,11
7,2,2001,2/7/2001,8.4,42.5,773,7
18,4,2011,4/18/2011,6.8,42.6,698,4
5,12,2005,12/5/2005,8,42.7,672,16
18,4,2001,4/18/2001,8,42.8,633,8
31,1,1996,1/31/1996,8.2,43,638,8
18,3,2002,3/18/2002,7.9,43.7,622,5
29,1,1997,1/29/1997,8.1,43.7,692,5
3,4,1996,4/3/1996,8.1,44.6,628,9
13,2,2006,2/13/2006,7.9,45.2,823,1
14,3,2016,3/14/2016,7.3,45.4,430,6
3,2,1999,2/3/1999,8.2,45.7,590,18
3,3,2008,3/3/2008,2.7,45.8,810,4
16,4,2018,4/16/2018,11.2,46.2,460,7
21,1,2013,1/21/2013,1.1,46.3,550,11
31,10,2011,10/31/2011,9.2,46.5,520,12
23,1,2012,1/23/2012,3.2,46.6,650,22
15,5,1996,5/15/1996,8.3,46.8,600,11
15,12,2003,12/15/2003,7.9,46.9,761,12
23,3,2009,3/23/2009,5.3,47,616,12
16,4,2007,4/16/2007,3.7,47.2,650,12
25,2,2008,2/25/2008,1,47.3,781,11
12,3,2012,3/12/2012,5.9,47.4,430,8
31,7,2006,7/31/2006,7.7,47.7,544,21
13,11,1996,11/13/1996,8.1,47.8,696,11
18,3,1998,3/18/1998,8,47.9,762,21
7,3,2001,3/7/2001,8.3,48,683,11
10,4,2006,4/10/2006,8.1,48.2,600,15
4,5,1994,5/4/1994,7.9,48.4,629,10
24,4,2006,4/24/2006,8,48.77,524,37
31,1,2001,1/31/2001,8.1,49,897,28
25,2,2013,2/25/2013,2.1,49.1,644,12
17,5,2004,5/17/2004,8,49.4,666,4
10,9,1996,9/10/1996,8.1,49.5,386,38
5,11,2001,11/5/2001,8.1,49.8,583,44
26,6,1996,6/26/1996,8.2,50,603,17
14,2,1996,2/14/1996,7.4,50.1,568,19
16,3,2015,3/16/2015,1.5,50.6,441,39
19,7,2000,7/19/2000,8.2,50.8,594,21
13,11,2006,11/13/2006,7.9,51.1,648,12
29,4,2013,4/29/2013,11.5,51.3,690,12
27,2,2012,2/27/2012,3,51.5,600,4
10,1,2005,1/10/2005,7.9,51.6,678,7
1,3,2004,3/1/2004,7.8,52.2,920,26
20,10,2014,10/20/2014,11.3,52.42,560,10
22,6,2000,6/22/2000,8.1,53.1,681,32
5,6,2006,6/5/2006,8,53.3,441,35
11,12,2006,12/11/2006,8.4,53.6,908,20
5,2,1997,2/5/1997,8.1,53.8,705,16
2,5,2005,5/2/2005,8,54,632,14
30,6,2008,6/30/2008,15.9,54.5,507,23
5,5,2003,5/5/2003,7.9,54.8,695,12
9,2,2009,2/9/2009,1.9,55,885,18
9,1,2006,1/9/2006,8,55.3,688,16
3,5,2004,5/3/2004,8,55.9,671,16
8,4,2002,4/8/2002,8.5,56.1,584,4
18,7,2005,7/18/2005,7.8,56.2,418,22
9,8,2000,8/9/2000,8.3,56.7,688,13
26,5,2014,5/26/2014,16.1,56.83,535,8
26,4,1995,4/26/1995,7.8,56.9,555,30
17,3,2014,3/17/2014,0.2,58,430,5
27,9,2000,9/27/2000,7.7,58.2,652,32
17,3,2008,3/17/2008,2,58.4,810,7
21,10,2013,10/21/2013,12,58.6,520,16
16,10,2006,10/16/2006,8,59,626,22
20,3,2006,3/20/2006,7.9,59.1,649,12
26,5,2003,5/26/2003,7.8,59.2,676,11
28,3,2011,3/28/2011,3,59.5,700,10
4,2,2002,2/4/2002,8.2,59.6,760,7
7,12,1993,12/7/1993,7.7,59.8,698,26
8,2,2016,2/8/2016,4.1,59.9,470,15
30,11,1993,11/30/1993,7.7,60.1,702,22
24,11,2003,11/24/2003,8,60.2,642,30
12,5,2003,5/12/2003,7.3,60.4,698,16
20,11,1996,11/20/1996,8.2,60.5,719,7
17,5,1994,5/17/1994,8.2,61.5,641,12
11,4,2011,4/11/2011,11.5,62.1,648,15
1,6,2009,6/1/2009,15.1,64.3,636,15
18,12,2006,12/18/2006,8.4,64.5,674,22
20,3,1996,3/20/1996,8.1,65,668,17
12,4,2010,4/12/2010,9.8,66.3,691,18
13,5,2002,5/13/2002,7.9,67.5,600,34
2,3,2000,3/2/2000,8.4,69,635,8
25,3,1998,3/25/1998,8.1,69.1,672,16
4,12,1996,12/4/1996,7.9,69.8,674,11
14,3,2001,3/14/2001,8.3,70.1,679,30
5,4,2004,4/5/2004,8.2,70.2,656,19
4,4,2011,4/4/2011,7,70.5,753,18
24,1,1996,1/24/1996,8.2,70.6,716,19
13,4,1994,4/13/1994,7.6,71.3,644,13
15,3,2004,3/15/2004,7.9,71.4,696,17
1,12,2008,12/1/2008,2.3,72.2,587,14
17,1,2005,1/17/2005,7.9,72.4,608,15
9,1,2012,1/9/2012,2.7,72.6,540,21
19,6,1996,6/19/1996,8.3,72.7,576,25
15,9,2014,9/15/2014,14.6,72.98,600,28
16,1,2006,1/16/2006,8.8,73.8,657,19
11,11,2013,11/11/2013,6.5,74.4,570,14
11,4,2001,4/11/2001,7.9,74.7,558,17
28,5,2001,5/28/2001,7.7,75,566,16
22,3,1995,3/22/1995,8.2,76,605,17
3,6,2013,6/3/2013,17.8,76.4,753,35
12,12,2011,12/12/2011,2.9,77.5,540,21
25,4,2005,4/25/2005,8,78,632,29
25,1,1995,1/25/1995,7.7,79.4,640,34
30,11,2015,11/30/2015,4.2,79.9,370,21
5,5,2014,5/5/2014,9,79.96,440,10
17,11,2003,11/17/2003,8.2,80.3,686,38
28,3,2001,3/28/2001,8.2,81,580,8
20,11,2006,11/20/2006,7.9,81.1,575,22
6,10,2014,10/6/2014,13.3,81.68,550,18
22,11,1995,11/22/1995,7.8,82.3,671,15
25,5,2000,5/25/2000,8.1,82.5,612,16
6,4,1994,4/6/1994,7.6,83.4,571,9
2,5,2011,5/2/2011,10.8,83.6,618,19
19,3,1997,3/19/1997,8.2,85.1,598,12
17,10,2001,10/17/2001,7.9,85.3,519,20
24,10,1996,10/24/1996,8.1,85.3,621,21
28,1,2002,1/28/2002,7.9,85.5,671,5
12,3,1997,3/12/1997,8.2,86.8,592,29
14,4,2008,4/14/2008,7.3,87.1,891,1
14,1,2008,1/14/2008,4.1,89,700,27
24,10,2011,10/24/2011,11.1,92.4,490,27
2,10,1996,10/2/1996,8,93.2,574,28
15,11,1995,11/15/1995,7.8,93.4,596,43
18,3,2013,3/18/2013,2.2,95.8,690,8
31,10,1996,10/31/1996,8.1,98,618,32
14,4,2003,4/14/2003,7.9,101,587,17
5,3,1997,3/5/1997,8.2,104,564,16
27,1,1999,1/27/1999,8.2,105,460,16
19,3,2007,3/19/2007,1,105.1,537,15
15,1,2007,1/15/2007,8,105.8,699,31
23,10,2006,10/23/2006,7.9,106.6,529,20
8,9,2014,9/8/2014,18.6,107.36,450,37
23,1,2006,1/23/2006,8,107.6,602,21
18,2,1999,2/18/1999,7.6,109,500,27
29,11,2000,11/29/2000,8.3,113,709,31
17,12,1996,12/17/1996,7.9,115,706,40
6,4,2009,4/6/2009,7.5,115.9,602,41
7,1,2008,1/7/2008,4.9,116.4,814,33
14,4,2014,4/14/2014,9.9,118.86,550,14
3,12,2001,12/3/2001,7.9,121,503,27
4,4,2016,4/4/2016,3.2,124.8,420,28
5,12,2011,12/5/2011,7.4,128.1,520,42
1,2,2016,2/1/2016,3,134.3,550,36
5,3,2012,3/5/2012,1.7,138.6,330,24
26,2,1997,2/26/1997,8.1,139,560,22
11,4,2016,4/11/2016,4,141.1,460,17
8,1,2007,1/8/2007,8.4,141.8,598,40
15,12,2008,12/15/2008,5.5,144.6,732,42
6,2,2006,2/6/2006,7.8,146.3,685,27
29,3,2004,3/29/2004,7.7,147,563,25
23,2,1994,2/23/1994,7.9,151,481,23
20,2,2006,2/20/2006,7.6,154.2,569,11
26,6,2000,6/26/2000,8.1,157,672,34
7,4,2008,4/7/2008,6.6,157.2,732,15
22,2,2016,2/22/2016,1.9,160,400,33
16,5,2011,5/16/2011,12.5,161.9,516,42
24,4,1996,4/24/1996,7.8,165,570,37
4,3,2002,3/4/2002,8.2,171,579,29
31,3,2014,3/31/2014,2.2,172.7,452,44
