Age,Gender,Union,M_Status,Education,Reason of unemployment,Desiered Profession,Previous Training,Willing for desired profession,Finincial Capability,Source of fund/no,Govt Seaftynet,EBEK,EBEK-Service
18,Female,Garidaho,Unmarried,SSC,Financial Problem,Outsourcing,No,Yes,No,Relatives,No,No,
32,Female,Garidaho,Widow,SSC,Financial Problem,Tailoring,No,Yes,No,Relatives,No,No,
34,Female,Garidaho,Married,SSC,Lack of Skills,ICT Technician,No,Yes,No,Relatives,No,No,
20,Female,Garidaho,Unmarried,Class 45,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
25,Female,Garidaho,Married,Class 67,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Married,Class 82,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
23,Female,Garidaho,Married,Below Class 24,Lack of Skills,Bekary Technician,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Unmarried,Alim,Financial Problem,Tissue Culture Technician,No,Yes,No,NGO,No,No,
19,Female,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,No,
18,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
27,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
20,Female,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
20,Female,Garidaho,Unmarried,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,NGO,No,No,
23,Female,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Married,HSC,Financial Problem,Electrician,No,Yes,No,NGO,No,No,
35,Female,Garidaho,Married,HSC,Financial Problem,RSS Fish Farming,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Unmarried,SSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
22,Female,Garidaho,Unmarried,Dakhil,Financial Problem,Beef Fatenning,No,Yes,No,NGO,No,No,
29,Female,Garidaho,Married,Class 60,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
29,Female,Garidaho,Married,Class 62,Lack of Skills,Electrician,No,Yes,No,Village Society,No,No,
23,Female,Garidaho,Unmarried,Honours,Financial Problem,ICT Technician,No,Yes,No,Village Society,No,No,
24,Female,Garidaho,Married,Honours,Lack of Skills,Veterinary Doctor,No,Yes,No,Village Society,No,No,
19,Female,Garidaho,Unmarried,Class 11,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
34,Female,Garidaho,Unmarried,Class 18,Lack of Skills,Beef Fatenning,No,Yes,No,Bank,No,No,
25,Female,Garidaho,Unmarried,Class 24,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
21,Female,Garidaho,Unmarried,Class 27,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
24,Female,Garidaho,Unmarried,Class 28,Lack of Skills,Driver,No,Yes,No,Bank,Yes,No,
18,Female,Garidaho,Unmarried,Class 43,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,Class 44,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
18,Female,Garidaho,Divorcy,Class 50,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
30,Female,Garidaho,Divorcy,Class 51,Lack of Skills,Tailoring,No,Yes,No,Bank,No,Yes,??
18,Female,Garidaho,Married,Class 84,Financial Problem,Tailoring,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,Below Class 10,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,Alim,Financial Problem,Driver,No,Yes,No,Bank,No,No,
18,Female,Garidaho,Unmarried,Alim,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
18,Female,Garidaho,Unmarried,Alim,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,Female,Garidaho,Unmarried,HSC,Lack of Employment,Others,No,Yes,No,Bank,No,No,
25,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
23,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
20,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
23,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,,
22,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
22,Female,Garidaho,Unmarried,HSC,Lack of Employment,Outsourcing,Yes,Yes,No,Bank,No,No,
21,Female,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
20,Female,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
19,Female,Garidaho,Married,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
26,Female,Garidaho,Married,HSC,Lack of Employment,Driver,No,Yes,No,Bank,Yes,No,
18,Female,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,No,Bank,Yes,No,
18,Female,Garidaho,Unmarried,SSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
18,Female,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
30,Female,Garidaho,Divorcy,SSC,Financial Problem,Tailoring,No,Yes,No,Bank,No,No,
24,Female,Garidaho,Married,SSC,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
32,Female,Garidaho,Married,SSC,Lack of Skills,Chicken-Duck Farming,No,Yes,No,Bank,No,No,
23,Female,Garidaho,Unmarried,Kamil,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
26,Female,Garidaho,Unmarried,Kamil,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
20,Female,Garidaho,Unmarried,Technical,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
20,Female,Garidaho,Unmarried,Technical,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
27,Female,Garidaho,Married,Masters,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
31,Female,Garidaho,Married,Masters,Family Obstacles,ICT Technician,No,Yes,No,Bank,No,No,
27,Female,Garidaho,Married,Masters,Lack of Referance Person,Outsourcing,No,Yes,No,Bank,No,No,
28,Female,Garidaho,Married,Masters,Lack of Skills,Driver,No,Yes,No,Bank,Yes,No,
22,Female,Garidaho,Unmarried,Diploma,Lack of Referance Person,Others,No,Yes,Yes,,No,No,
25,Female,Garidaho,Unmarried,Diploma,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
25,Female,Garidaho,Unmarried,Diploma,Favourable Profession Selection Problem,Outsourcing,No,Yes,Yes,,No,No,
22,Female,Garidaho,Married,Diploma,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
17,Female,Garidaho,Unmarried,Class 10,Others,Electrician,No,Yes,Yes,,No,Yes,???? ?????
19,Female,Garidaho,Unmarried,Class 14,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
25,Female,Garidaho,Unmarried,Class 17,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,No,
16,Female,Garidaho,Unmarried,Class 19,Others,Driver,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,Class 21,Financial Problem,Driver,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,Class 23,Financial Problem,Driver,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Class 30,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,Class 32,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Class 37,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Class 38,Lack of Skills,Driver,No,Yes,Yes,,No,No,
30,Female,Garidaho,Divorcy,Class 49,Financial Problem,Tailoring,No,Yes,Yes,,No,No,
26,Female,Garidaho,Divorcy,Class 52,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
26,Female,Garidaho,Divorcy,Class 53,Lack of Referance Person,Tailoring,No,Yes,Yes,,No,No,
28,Female,Garidaho,Married,Class 63,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
35,Female,Garidaho,Married,Class 73,Others,Veterinary Doctor,No,Yes,Yes,,No,Yes,Self
32,Female,Garidaho,Married,Class 76,Lack of Employment,Driver,No,Yes,Yes,,No,No,
26,Female,Garidaho,Married,Class 87,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,Female,Garidaho,Married,Class 89,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
30,Female,Garidaho,Married,Class 90,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,Female,Garidaho,Married,Class 91,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,Female,Garidaho,Married,Class 98,Lack of Skills,Tailoring,No,Yes,Yes,,No,Yes,?????
32,Female,Garidaho,Married,Class 101,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
33,Female,Garidaho,Married,Class 109,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
28,Female,Garidaho,Married,Class 116,Lack of Skills,Butik-Embroidery,No,Yes,Yes,,No,No,
33,Female,Garidaho,Married,Class 117,Lack of Employment,Mens Parlour/Beautu Parlour,No,Yes,Yes,,No,No,
32,Female,Garidaho,Married,Class 121,Lack of Skills,Handicrafts,No,No,Yes,,No,No,
29,Female,Garidaho,Husband abandoned,Class 126,Lack of Referance Person,Hospitility Management,No,Yes,Yes,,No,No,
28,Female,Garidaho,Married,Below Class 18,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
30,Female,Garidaho,Married,Below Class 22,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Alim,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,No,Yes,,No,No,
19,Female,Garidaho,Unmarried,Alim,Lack of Employment,Driver,No,Yes,Yes,,No,No,
33,Female,Garidaho,Married,Alim,Lack of Skills,Veterinary Doctor,No,Yes,Yes,,No,No,
20,Female,Garidaho,Married,Alim,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,HSC,Lack of Referance Person,Others,No,Yes,Yes,,No,No,
22,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
22,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
20,Female,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,Yes,?? -?????/-
19,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
25,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,Yes,???? ?????
18,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,Yes,Nothing
18,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
22,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
26,Female,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
20,Female,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
23,Female,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
28,Female,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,Female,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
25,Female,Garidaho,Married,HSC,Lack of Referance Person,ICT Technician,No,Yes,Yes,,No,No,
31,Female,Garidaho,Married,HSC,Favourable Profession Selection Problem,Beef Fatenning,No,Yes,Yes,,No,Yes,Only Savings
32,Female,Garidaho,Married,HSC,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
29,Female,Garidaho,Married,HSC,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,SSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,SSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,SSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,SSC,Lack of Skills,Hospitility Management,No,Yes,Yes,,No,No,
19,Female,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,No,Yes,,No,No,
20,Female,Garidaho,Unmarried,SSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
22,Female,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,Female,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,Yes,??
32,Female,Garidaho,Married,SSC,Lack of Skills,Others,No,Yes,Yes,,No,No,
24,Female,Garidaho,Married,SSC,Favourable Profession Selection Problem,Driver,No,Yes,Yes,,No,No,
25,Female,Garidaho,Married,SSC,Family Obstacles,Tailoring,No,Yes,Yes,,No,No,
17,Female,Garidaho,Unmarried,Dakhil,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
22,Female,Garidaho,Married,Fazil,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,No,
21,Female,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
27,Female,Garidaho,Unmarried,Honours,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,No,
23,Female,Garidaho,Married,Honours,Lack of Skills,Driver,No,Yes,Yes,,No,No,
31,Female,Garidaho,Unmarried,Masters,Lack of Referance Person,Hospitility Management,No,Yes,Yes,,No,No,
30,Female,Garidaho,Married,Masters,Lack of Employment,Chicken-Duck Farming,Yes,Yes,Yes,,No,No,
28,Female,Vabanipub,Married,Class 80,Lack of Skills,Driver,No,Yes,Yes,,No,Yes,Loan
26,Female,Mirjapur,Married,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,No,Yes,Loan
30,Female,Mirjapur,Married,SSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,No,Yes,
35,Female,Mirjapur,Married,Class 105,Financial Problem,Animal Husbandry,No,Yes,Yes,,Yes,Yes,Loan
28,Female,Sherpur Pouroshava,Unmarried,Masters,Lack of Employment,RSS Fish Farming,No,Yes,No,Others,No,No,
34,Female,Simabari,Married,HSC,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,Yes,Loan
29,Female,Sughat,Married,Class 112,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,Yes,?? ?????? ? ??? ??????? ?????
33,Male,Kusumbi,Married,Class 107,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,Yes,Loan
32,Male,Kusumbi,Married,Class 106,Financial Problem,Animal Husbandry,No,Yes,Yes,,No,Yes,Loan
23,Male,Kusumbi,Married,HSC,Financial Problem,Animal Husbandry,No,Yes,Yes,,No,Yes,Loan
31,Male,Kusumbi,Unmarried,Honours,Favourable Profession Selection Problem,Veterinary Doctor,No,Yes,Yes,,No,Yes,Loan
34,Male,Khamarkandi,Married,HSC,Financial Problem,Veterinary Doctor,Yes,Yes,No,Bank,No,Yes,Loan
18,Male,Garidaho,Unmarried,Below Class 8,Lack of Skills,Hospitility Management,No,Yes,No,Relatives,No,No,
19,Male,Garidaho,Unmarried,HSC,Lack of Employment,Electrician,No,Yes,No,Relatives,No,No,
19,Male,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Relatives,No,Yes,Loan
19,Male,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Relatives,No,No,
22,Male,Garidaho,Unmarried,Technical,Lack of Employment,Outsourcing,No,Yes,No,Relatives,Yes,No,
25,Male,Garidaho,Unmarried,Honours,Lack of Referance Person,ICT Technician,No,Yes,No,Relatives,No,No,
25,Male,Garidaho,Unmarried,Masters,Lack of Employment,Outsourcing,No,Yes,No,Relatives,No,No,
21,Male,Garidaho,Unmarried,Class 25,Lack of Employment,Driver,No,Yes,No,NGO,No,No,
20,Male,Garidaho,Unmarried,Class 26,Lack of Employment,Driver,No,Yes,No,NGO,No,No,
22,Male,Garidaho,Unmarried,Class 33,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
19,Male,Garidaho,Unmarried,Class 41,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
18,Male,Garidaho,Divorcy,Class 54,Lack of Skills,Mens Parlour/Beautu Parlour,No,Yes,No,NGO,No,No,
25,Male,Garidaho,Married,Class 66,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
35,Male,Garidaho,Married,Class 68,Lack of Skills,Beef Fatenning,No,Yes,No,NGO,No,No,
30,Male,Garidaho,Married,Class 102,Lack of Skills,Tailoring,No,Yes,No,NGO,No,No,
19,Male,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,No,NGO,No,No,
19,Male,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,NGO,No,No,
22,Male,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
19,Male,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,NGO,No,No,
18,Male,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,No,NGO,No,No,
21,Male,Garidaho,Married,HSC,Lack of Skills,Outsourcing,No,Yes,No,NGO,No,No,
